scaffoldId	begin	end	strand	locusId	name	sysName	sysName2	desc	ec	ecName
139	334	774	-	199198	mioC	SO_0001	SO0001	mioC protein (NCBI ptt file)	b3742	mioC
139	954	2504	+	199199		SO_0002	SO0002	proton/peptide symporter family protein (NCBI ptt file)		
139	2589	3962	-	199200	trmE	SO_0003	SO0003	tRNA modification GTPase TrmE (NCBI ptt file)	b3706	mnmE
139	4058	5683	-	199201		SO_0004	SO0004	inner membrane protein, 60 kDa (NCBI ptt file)	b3705	yidC
139	5687	5941	-	199202		SO_0005	SO0005	conserved hypothetical protein TIGR00278 (NCBI ptt file)		
139	5908	6264	-	199203	rnpA	SO_0006	SO0006	ribonuclease P protein component (NCBI ptt file)	b3704	rnpA
139	6281	6418	-	199204	rpmH	SO_0007	SO0007	ribosomal protein L34 (NCBI ptt file)	b3703	rpmH
139	6873	8255	+	199205	dnaA	SO_0008	SO0008	chromosomal replication initiator protein DnaA (NCBI ptt file)	b3702	dnaA
139	8276	9376	+	199206	dnaN	SO_0009	SO0009	DNA polymerase III, beta subunit (NCBI ptt file)	b3701	dnaN
139	9539	10621	+	199207	recF	SO_0010	SO0010	DNA replication and repair protein RecF (NCBI ptt file)	b3700	recF
139	10638	13055	+	199208	gyrB	SO_0011	SO0011	DNA gyrase, B subunit (NCBI ptt file)	b3699	gyrB
139	13129	13791	-	199209		SO_0012	SO0012	glutathione S-transferase family protein (NCBI ptt file)	b2301	yfcF
139	14311	15111	+	199210		SO_0013	SO0013	hypothetical protein (NCBI ptt file)		
139	15180	17246	-	199211	glyS	SO_0014	SO0014	glycyl-tRNA synthetase, beta subunit (NCBI ptt file)	b3559	glyS
139	17256	18161	-	199212	glyQ	SO_0015	SO0015	glycyl-tRNA synthetase, alpha subunit (NCBI ptt file)	b3560	glyQ
139	18279	18854	+	199213	tag	SO_0016	SO0016	DNA-3-methyladenine glycosidase I (NCBI ptt file)	b3549	tag
139	18941	22090	-	199214		SO_0017	SO0017	hypothetical amidohydrolase (NCBI ptt file)		
139	22330	22767	-	199215		SO_0018	SO0018	conserved hypothetical protein (NCBI ptt file)		
139	22815	23060	-	199216		SO_0019	SO0019	conserved hypothetical protein (NCBI ptt file)	b3470	sirA
139	23307	24470	-	199217	fadA	SO_0020	SO0020	fatty oxidation complex, beta subunit (NCBI ptt file)	b3845	fadA
139	24493	26643	-	199218	fadB	SO_0021	SO0021	fatty oxidation complex, alpha subunit (NCBI ptt file)	b3846	fadB
139	27069	28388	+	199219	pepQ	SO_0022	SO0022	prolidase (NCBI ptt file)	b3847	pepQ
139	28404	29018	+	199220		SO_0023	SO0023	conserved hypothetical protein TIGR00257 (NCBI ptt file)	b3848	yigZ
139	29096	30556	+	199221	trkH-1	SO_0024	SO0024	potassium uptake protein TrkH (NCBI ptt file)	b3849	trkH
139	30558	31082	+	199222		SO_0025	SO0025	hypothetical flavodoxin (NCBI ptt file)		
139	31147	31455	-	199223		SO_0026	SO0026	transcriptional regulator, ArsR family (NCBI ptt file)		
139	31656	32210	+	199224		SO_0027	SO0027	protoporphyrinogen oxidase, putative (NCBI ptt file)	b3850	hemG
139	32252	33694	-	199225	trkH-2	SO_0028	SO0028	potassium uptake protein TrkH (NCBI ptt file)		
139	33706	35115	-	199226	trkA	SO_0029	SO0029	potassium uptake protein TrkA (NCBI ptt file)	b3290	trkA
139	35131	36417	-	199227	sun	SO_0030	SO0030	sun protein (NCBI ptt file)	b3289	rsmB
139	36420	37376	-	199228	fmt	SO_0031	SO0031	methionyl-tRNA formyltransferase (NCBI ptt file)	b3288	fmt
139	37392	37898	-	199229	def-1	SO_0032	SO0032	polypeptide deformylase (NCBI ptt file)	b3287	def
139	38024	39160	+	199230		SO_0033	SO0033	LysM domain protein (NCBI ptt file)		
139	39244	40260	+	199231		SO_0034	SO0034	DNA processing protein DprA, putative (NCBI ptt file)		
139	40263	40739	+	199232	smg	SO_0035	SO0035	smg protein (NCBI ptt file)	b3284	smg
139	40852	41418	+	199233		SO_0036	SO0036	topoisomerase DNA-binding C4 zinc finger domain protein (NCBI ptt file)	b3283	yrdD
139	41557	42123	+	199234		SO_0037	SO0037	Sua5/YciO/YrdC/YwlC family protein (NCBI ptt file)	b3282	rimN
139	42152	43060	+	199235	hemF	SO_0038	SO0038	coproporphyrinogen III oxidase, aerobic (NCBI ptt file)	b2436	hemF
139	43090	43527	-	199236		SO_0039	SO0039	hypothetical globin (NCBI ptt file)		
139	43717	44580	+	199237	aroE	SO_0040	SO0040	shikimate 5-dehydrogenase (NCBI ptt file)	b3281	aroE
139	44606	44881	+	199238		SO_0041	SO0041	conserved hypothetical protein (NCBI ptt file)	b3280	yrdB
139	44973	45521	-	199239		SO_0042	SO0042	carbonic anhydrase, family 3 (NCBI ptt file)	b3279	yrdA
139	45835	45951	+	199240		SO_0043	SO0043	hypothetical protein (NCBI ptt file)		
139	51728	51979	+	199241		SO_0044	SO0044	conserved hypothetical protein (NCBI ptt file)		
139	52004	52459	+	199242		SO_0045	SO0045	Rrf2 family protein (NCBI ptt file)		
139	52434	53189	-	199243		SO_0046	SO0046	conserved hypothetical protein (NCBI ptt file)		
139	53199	54407	-	199244		SO_0047	SO0047	carboxyl-terminal protease, putative (NCBI ptt file)		
139	54456	55490	-	199245		SO_0048	SO0048	peptidase, M23/M37 family (NCBI ptt file)	b3613	envC
139	55600	57144	-	199246	gpmA	SO_0049	SO0049	phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (NCBI ptt file)	b3612	gpmM
139	57409	57843	+	199247		SO_0050	SO0050	rhodanese domain protein (NCBI ptt file)	b3611	yibN
139	57826	57918	-	199248		SO_0051	SO0051	hypothetical protein (NCBI ptt file)		
139	58105	58578	+	199249	secB	SO_0052	SO0052	protein-export protein SecB (NCBI ptt file)	b3609	secB
139	58583	59599	+	199250	gpsA	SO_0053	SO0053	glycerol-3-phosphate dehydrogenase (NAD(P)+) (NCBI ptt file)	b3608	gpsA
139	59949	61139	+	199251		SO_0054	SO0054	conserved hypothetical protein TIGR00275 (NCBI ptt file)	b3492	yhiN
139	61362	63041	-	199252		SO_0055	SO0055	conserved domain protein (NCBI ptt file)		
139	63429	64187	+	199253		SO_0056	SO0056	transporter, putative (NCBI ptt file)		
139	64299	65660	-	199254		SO_0057	SO0057	potassium uptake protein, Trk family (NCBI ptt file)		
139	65662	66360	-	199255		SO_0058	SO0058	potassium uptake protein, putative (NCBI ptt file)		
139	66406	67095	-	199256	kdpE	SO_0059	SO0059	transcriptional regulatory protein KdpE (NCBI ptt file)	b0694	kdpE
139	67096	68142	-	199257		SO_0060	SO0060	sensor histidine kinase (NCBI ptt file)		
139	68407	68871	+	199258		SO_0061	SO0061	lipoprotein, NLP/P60 family (NCBI ptt file)		
139	69205	69591	+	199259		SO_0062	SO0062	hypothetical protein (NCBI ptt file)		
139	69588	70895	+	199260		SO_0063	SO0063	conserved hypothetical protein (NCBI ptt file)		
139	71134	71667	+	199262	mog	SO_0065	SO0065	molybdenum cofactor biosynthesis protein Mog (NCBI ptt file)	b0009	mog
139	72364	78060	+	199263		SO_0066	SO0066	conserved hypothetical protein (NCBI ptt file)	b2520	yfhM
139	78057	80339	+	199264		SO_0067	SO0067	penicillin-binding protein 1C, putative (NCBI ptt file)	b2519	pbpC
139	80364	80609	-	199265		SO_0068	SO0068	hypothetical protein (NCBI ptt file)		
139	80667	81806	-	199266		SO_0069	SO0069	transport protein, putative (NCBI ptt file)		
139	81904	82638	-	199267	natA	SO_0070	SO0070	ATP-binding transport protein NatA (NCBI ptt file)		
139	82641	84260	-	199268		SO_0071	SO0071	hydrolase, alpha/beta hydrolase fold family (NCBI ptt file)		
139	84353	84724	+	199269		SO_0072	SO0072	transcriptional regulator, GntR family (NCBI ptt file)		
139	84765	85628	+	199270		SO_0073	SO0073	ABC transporter, ATP-binding protein (NCBI ptt file)		
139	85625	86932	+	199271		SO_0074	SO0074	hypothetical protein (NCBI ptt file)		
139	87148	88854	+	199272		SO_0075	SO0075	AMP-binding family protein (NCBI ptt file)		
139	88995	91481	+	199273		SO_0076	SO0076	hypothetical protein (NCBI ptt file)		
139	91601	92017	+	199274		SO_0077	SO0077	hypothetical 4-hydroxybenzoyl-CoA thioesterase (NCBI ptt file)		
139	92009	92812	-	199275		SO_0078	SO0078	hypothetical protein (NCBI ptt file)		
139	92857	93123	-	199276		SO_0079	SO0079	conserved hypothetical protein (NCBI ptt file)		
